RUN,TP,CODE,DYNAMIC PRESSURE,TEMP TS,BALANCE TEMP,PRESS TS,N1,N2,S1,S2,A1,R1,Lift (lbf),Drag (lbf),Pitch (in-lbf),Yaw (in-lbf),Side (lbf),Roll (in-lbf),Length,Flap Angle,FCY/N,DC/SC
1,1,1,0.0,0.0,0.0,0.0,0.127773,0.157383,-0.075672,0.116823,7.139243,0.007121,-47.71373,173.486777,7.762406,40.919928,-5.849658,0,4.0,0,N,DC
1,2,0,40.079082,76.444905,4181.148919,14.53489,-0.000471,0.000344,-0.000308,0.000415,0.007054,-5.3e-05,0.018784,0.171332,0.194964,0.146063,-0.021708,0,4.0,0,N,DC
1,3,0,45.182238,78.947605,4181.092286,14.496379,-0.000634,0.000376,-0.000333,0.000405,0.006765,-8e-05,0.040364,0.164372,0.240566,0.147774,-0.016864,0,4.0,0,N,DC
1,4,0,50.214109,79.597221,4181.091224,14.480924,-0.000739,0.000463,-0.000315,0.000407,0.007242,-0.000108,0.043342,0.175911,0.285306,0.142803,-0.020238,0,4.0,0,N,DC
1,1,1,0.0,0.0,0.0,0.0,0.126618,0.158059,-0.074298,0.115767,7.136577,0.006611,-47.62936,173.421652,8.171427,40.393237,-5.893825,0,4.0,0,N,SC
1,2,0,40.043581,74.230667,4175.283476,14.550868,-0.000371,9.1e-05,-6.3e-05,0.00051,0.016499,-1.1e-05,0.04322,0.401511,0.1063,0.118922,-0.079033,0,4.0,0,N,SC
1,3,0,45.579962,74.86936,4175.205572,14.509389,-0.000654,7.2e-05,-0.000152,0.000512,0.016775,-4.9e-05,0.092872,0.408523,0.167592,0.135939,-0.06703,0,4.0,0,N,SC
1,4,0,50.249589,75.799054,4175.10589,14.472537,-0.000762,-3e-06,-0.000122,0.00047,0.016613,-6.2e-05,0.123205,0.40481,0.174044,0.12087,-0.065824,0,4.0,0,N,SC
1,1,1,0.0,0.0,0.0,0.0,0.12771,0.157469,-0.075523,0.116806,7.137184,0.006873,-47.717542,173.436402,7.796599,40.88347,-5.870561,0,4.0,0,Y,DC
1,2,0,39.904538,77.940597,4180.016154,14.535294,-0.000626,0.000128,-0.000158,0.000278,0.0149,0.001216,0.080204,0.362994,0.173758,0.08766,-0.025366,0,4.0,0,Y,DC
1,3,0,44.956146,78.560862,4180.023231,14.498903,-0.000813,0.000182,-9.2e-05,0.00034,0.016316,0.001342,0.101821,0.397421,0.228997,0.085132,-0.047384,0,4.0,0,Y,DC
